county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Västerbottens län,Bjurholm,"Vindeln,Nordmaling,Lycksele,Örnsköldsvik,Åsele,Vännäs",Stockholm,2403,Förortskommuner till storstäderna,Bjurholms kommun
Västra Götalands län,Grästorp,"Vänersborg,Trollhättan,Vara,Essunga,Lidköping",Tranås,1444,Varuproducerande kommuner,Grästorps kommun
Östergötlands län,Motala,"Finspång,Mjölby,Linköping,Vadstena,Hallsberg,Askersund",Borås,0583,Kommuner i tätbefolkad region,Motala kommun
Örebro län,Lekeberg,"Laxå,Degerfors,Karlskoga,Kumla,Örebro,Hallsberg",Halmstad,1814,Varuproducerande kommuner,Lekebergs kommun
Östergötlands län,Åtvidaberg,"Västervik,Valdemarsvik,Söderköping,Linköping,Kinda",Stockholm,0561,Förortskommuner till storstäderna,Åtvidabergs kommun
Värmlands län,Sunne,"Arvika,Forshaga,Munkfors,Torsby,Kil,Hagfors",Gävle,1766,Pendlingskommuner,Sunne kommun
Västra Götalands län,Svenljunga,"Borås,Falkenberg,Mark,Varberg,Tranemo,Gislaved",Ljusdal,1465,Glesbygdkommuner,Svenljunga kommun
Västra Götalands län,Mariestad,"Götene,Töreboda,Skövde,Gullspång",Trollhättan,1493,Förortskommuner till större städer,Mariestads kommun
Västerbottens län,Vilhelmina,"Lycksele,Storuman,Dorotea,Åsele,Strömsund",Luleå,2462,Kommuner i glesbefolkad region,Vilhelmina kommun
Jämtlands län,Ragunda,"Östersund,Bräcke,Sundsvall,Strömsund,Sollefteå",Karlstad,2303,Kommuner i tätbefolkad region,Ragunda kommun
Västra Götalands län,Vänersborg,"Uddevalla,Mellerud,Färgelanda,Trollhättan,Lilla Edet,Grästorp,Lidköping",Umeå,1487,Pendlingskommuner,Vänersborgs kommun
Östergötlands län,Linköping,"Söderköping,Åtvidaberg,Norrköping,Finspång,Motala,Mjölby,Boxholm,Kinda",Göteborg,0580,Förortskommuner till storstäderna,Linköpings kommun
Stockholms län,Sollentuna,"Upplands Väsby,Järfälla,Sundbyberg,Stockholm,Täby,Danderyd,Solna",Vansbro,0163,Glesbygdkommuner,Sollentuna kommun
Stockholms län,Danderyd,"Sollentuna,Lidingö,Stockholm,Täby,Solna",Eskilstuna,0162,Kommuner i tätbefolkad region,Danderyds kommun
Västra Götalands län,Gullspång,"Mariestad,Töreboda,Kristinehamn,Laxå,Degerfors",Växjö,1447,Pendlingskommuner,Gullspångs kommun
Värmlands län,Kil,"Arvika,Sunne,Forshaga,Karlstad,Grums",Älmhult,1715,Pendlingskommuner,Kils kommun
Värmlands län,Arvika,"Säffle,Sunne,Årjäng,Torsby,Eda,Kil,Grums",Stockholm,1784,Storstäder,Arvika kommun
Västra Götalands län,Tidaholm,"Skövde,Hjo,Falköping,Mullsjö,Habo",Söderhamn,1498,Kommuner i glesbefolkad region,Tidaholms kommun
Uppsala län,Knivsta,"Sigtuna,Håbo,Uppsala,Norrtälje",Malmö,0330,Turism- och besöksnäringskommuner,Knivsta kommun
Västra Götalands län,Bollebygd,"Borås,Mark,Härryda,Alingsås,Lerum,Vårgårda",Stockholm,1443,Förortskommuner till större städer,Bollebygds kommun
Uppsala län,Östhammar,"Tierp,Uppsala,Norrtälje",Karlstad,0382,Varuproducerande kommuner,Östhammars kommun
Västra Götalands län,Stenungsund,"Kungälv,Uddevalla,Orust,Lilla Edet",Mora,1415,Turism- och besöksnäringskommuner,Stenungsunds kommun
Stockholms län,Upplands-Bro,"Upplands Väsby,Järfälla,Ekerö,Sigtuna,Håbo",Umeå,0139,Glesbygdkommuner,Upplands-Bro kommun
Skåne län,Eslöv,"Kävlinge,Lund,Höör,Hörby,Sjöbo,Svalöv,Klippan",Östergötland,1285,Varuproducerande kommuner,Eslövs kommun
Jämtlands län,Krokom,"Åre,Östersund,Strömsund",Malmö,2309,Pendlingskommuner,Krokoms kommun
Stockholms län,Värmdö,Nacka,Arvidsjaur,0120,Kommuner i glesbefolkad region,Värmdö kommun
Västmanlands län,Norberg,"Smedjebacken,Fagersta,Sala,Avesta,Hedemora",Göteborg,1962,Förortskommuner till storstäderna,Norbergs kommun
