county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Västerbottens län,Umeå,"Vindelns kommun,Nordmalings kommun,Skellefteå kommun,Robertsfors kommun,Vännäs kommun",Umeå,2480,Glesbygdkommuner,Umeå kommun
Västmanlands län,Västerås,"Enköpings kommun,Köpings kommun,Sala kommun,Surahammars kommun,Hallstahammars kommun",Jokkmokk,1980,Turism- och besöksnäringskommuner,Västerås stad
Kalmar län,Mörbylånga,Borgholms kommun,Göteborg,0840,Kommuner i tätbefolkad region,Mörbylånga kommun
Västmanlands län,Arboga,"Kungsörs kommun,Eskilstuna kommun,Lindesbergs kommun,Örebro kommun,Köpings kommun",Stockholm,1984,Förortskommuner till storstäderna,Arboga kommun
Västmanlands län,Köping,"Kungsörs kommun,Lindesbergs kommun,Skinnskattebergs kommun,Arboga kommun,Surahammars kommun,Västerås stad,Hallstahammars kommun",Malmö,1983,Storstäder,Köpings kommun
Skåne län,Örkelljunga,"Hässleholms kommun,Laholms kommun,Perstorps kommun,Klippans kommun,Ängelholms kommun,Marks kommun",Skövde,1257,Pendlingskommuner,Örkelljunga kommun
Östergötlands län,Vadstena,"Motala kommun,Mjölby kommun,Ödeshögs kommun",Lycksele,0584,Varuproducerande kommuner,Vadstena kommun
Västernorrlands län,Sundsvall,"Ånge kommun,Nordanstigs kommun,Bräcke kommun,Härnösands kommun,Timrå kommun,Sollefteå kommun,Ragunda kommun",Ludvika,2281,Varuproducerande kommuner,Sundsvalls kommun
Stockholms län,Vaxholm,"Lidingö stad,Österåkers kommun",Luleå,0187,Kommuner i glesbefolkad region,Vaxholms stad
Hallands län,Varberg,"Svenljunga kommun,Falkenbergs kommun,Markaryds kommun,Kungsbacka kommun",Lycksele,1383,Kommuner i glesbefolkad region,Varbergs kommun
Gävleborgs län,Ljusdal,"Orsa kommun,Rättviks kommun,Härjedalens kommun,Ånge kommun,Ovanåkers kommun,Nordanstigs kommun,Hudiksvalls kommun,Bollnäs kommun",Göteborg,2161,Pendlingskommuner,Ljusdals kommun
Västernorrlands län,Timrå,"Härnösands kommun,Sundsvalls kommun,Sollefteå kommun",Sundsvall,2262,Glesbygdkommuner,Timrå kommun
Örebro län,Ljusnarsberg,"Ludvika kommun,Hällefors kommun,Lindesbergs kommun,Smedjebackens kommun",Göteborg,1864,Pendlingskommuner,Ljusnarsbergs kommun
Jämtlands län,Östersund,"Bergs kommun,Krokoms kommun,Bräcke kommun,Strömsunds kommun,Ragunda kommun",Karlstad,2380,Förortskommuner till större städer,Östersunds kommun
Jönköpings län,Habo,"Hjo kommun,Tidaholms kommun,Mullsjö kommun,Jönköpings kommun",Växjö,0643,Varuproducerande kommuner,Habo kommun
Norrbottens län,Luleå,"Piteå kommun,Bodens kommun,Älvsbyns kommun,Kalix kommun,Överkalix kommun",Strömstad,2580,Turism- och besöksnäringskommuner,Luleå kommun
Södermanlands län,Eskilstuna,"Strängnäs kommun,Kungsörs kommun,Flens kommun,Katrineholms kommun,Arboga kommun",Östergötland,0484,Pendlingskommuner,Eskilstuna kommun
Västerbottens län,Bjurholm,"Vindelns kommun,Nordmalings kommun,Lycksele kommun,Örnsköldsviks kommun,Åsele kommun,Vännäs kommun",Stockholm,2403,Förortskommuner till storstäderna,Bjurholms kommun
Västra Götalands län,Grästorp,"Vänersborgs kommun,Trollhättans stad,Vara kommun,Essunga kommun,Lidköpings kommun",Tranås,1444,Varuproducerande kommuner,Grästorps kommun
Östergötlands län,Motala,"Finspångs kommun,Mjölby kommun,Linköpings kommun,Vadstena kommun,Hallsbergs kommun,Askersunds kommun",Borås,0583,Kommuner i tätbefolkad region,Motala kommun
Örebro län,Lekeberg,"Laxå kommun,Degerfors kommun,Karlskoga kommun,Kumla kommun,Örebro kommun,Hallsbergs kommun",Halmstad,1814,Varuproducerande kommuner,Lekebergs kommun
Östergötlands län,Åtvidaberg,"Västerviks kommun,Valdemarsviks kommun,Söderköpings kommun,Linköpings kommun,Kinda kommun",Stockholm,0561,Förortskommuner till storstäderna,Åtvidabergs kommun
Värmlands län,Sunne,"Arvika kommun,Forshaga kommun,Munkfors kommun,Torsby kommun,Kils kommun,Hagfors kommun",Gävle,1766,Pendlingskommuner,Sunne kommun
Västra Götalands län,Svenljunga,"Borås stad,Falkenbergs kommun,Markaryds kommun,Varbergs kommun,Tranemo kommun,Gislaveds kommun",Ljusdal,1465,Glesbygdkommuner,Svenljunga kommun
Västra Götalands län,Mariestad,"Götene kommun,Töreboda kommun,Skövde kommun,Gullspångs kommun",Trollhättan,1493,Förortskommuner till större städer,Mariestads kommun
Västerbottens län,Vilhelmina,"Lycksele kommun,Storumans kommun,Dorotea kommun,Åsele kommun,Strömsunds kommun",Luleå,2462,Kommuner i glesbefolkad region,Vilhelmina kommun
Jämtlands län,Ragunda,"Östersunds kommun,Bräcke kommun,Sundsvalls kommun,Strömsunds kommun,Sollefteå kommun",Karlstad,2303,Kommuner i tätbefolkad region,Ragunda kommun
Västra Götalands län,Vänersborg,"Uddevalla kommun,Melleruds kommun,Färgelanda kommun,Trollhättans stad,Lilla Edets kommun,Grästorps kommun,Lidköpings kommun",Umeå,1487,Pendlingskommuner,Vänersborgs kommun
Östergötlands län,Linköping,"Söderköpings kommun,Åtvidabergs kommun,Norrköpings kommun,Finspångs kommun,Motala kommun,Mjölby kommun,Boxholms kommun,Kinda kommun",Göteborg,0580,Förortskommuner till storstäderna,Linköpings kommun
Stockholms län,Sollentuna,"Upplands Väsby kommun,Järfälla kommun,Sundbybergs stad,Stockholms stad,Täby kommun,Danderyds kommun,Solna stad",Vansbro,0163,Glesbygdkommuner,Sollentuna kommun
Stockholms län,Danderyd,"Sollentuna kommun,Lidingö stad,Stockholms stad,Täby kommun,Solna stad",Eskilstuna,0162,Kommuner i tätbefolkad region,Danderyds kommun
Västra Götalands län,Gullspång,"Mariestads kommun,Töreboda kommun,Kristinehamns kommun,Laxå kommun,Degerfors kommun",Växjö,1447,Pendlingskommuner,Gullspångs kommun
Värmlands län,Kil,"Arvika kommun,Sunne kommun,Forshaga kommun,Karlstads kommun,Grums kommun",Älmhult,1715,Pendlingskommuner,Kils kommun
Värmlands län,Arvika,"Säffle kommun,Sunne kommun,Årjängs kommun,Torsby kommun,Eda kommun,Kils kommun,Grums kommun",Stockholm,1784,Storstäder,Arvika kommun
Västra Götalands län,Tidaholm,"Skövde kommun,Hjo kommun,Falköpings kommun,Mullsjö kommun,Habo kommun",Söderhamn,1498,Kommuner i glesbefolkad region,Tidaholms kommun
Uppsala län,Knivsta,"Sigtuna kommun,Håbo kommun,Uppsala kommun,Norrtälje kommun",Malmö,0330,Turism- och besöksnäringskommuner,Knivsta kommun
Västra Götalands län,Bollebygd,"Borås stad,Markaryds kommun,Härryda kommun,Alingsås kommun,Lerums kommun,Vårgårda kommun",Stockholm,1443,Förortskommuner till större städer,Bollebygds kommun
Uppsala län,Östhammar,"Tierps kommun,Uppsala kommun,Norrtälje kommun",Karlstad,0382,Varuproducerande kommuner,Östhammars kommun
